 2017-06-05 22:24:50,939 [P3908/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.11 application starting on DESKTOP-3M12IKH
 2017-06-05 22:24:50,970 [P3908/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-06-05 22:24:50,977 [P3908/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 7ms)
 2017-06-05 22:24:51,070 [P3908/D2/T1] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2017-06-05 22:24:51,071 [P3908/D2/T1] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2017-06-05 22:24:51,106 [P3908/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2017-06-05 22:24:51,503 [P3908/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 397ms)
 2017-06-05 22:24:51,515 [P3908/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-06-05 22:24:51,574 [P3908/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 59ms)
 2017-06-05 22:24:51,583 [P3908/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2017-06-05 22:24:51,607 [P3908/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 24ms)
 2017-06-05 22:24:51,618 [P3908/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2017-06-05 22:24:51,655 [P3908/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 36ms)
